date,category,amount,description
2025-11-01,food,52.3,Weekly groceries at Trader Joe's
2025-11-03,transportation,18.0,Subway weekly pass
2025-11-05,utility,98.5,Electricity bill — November
2025-11-07,life_style,14.99,Netflix monthly subscription
2025-11-09,finance,200.0,Monthly savings transfer
2025-11-11,general,34.75,Household cleaning supplies
2025-11-13,food,78.4,Dinner out at Italian restaurant
2025-11-15,transportation,45.0,Uber rides — mid November
2025-11-18,utility,62.0,Internet bill — November
2025-11-20,life_style,89.99,Gym membership — November
2025-11-22,food,29.6,Lunch meal prep ingredients
2025-11-25,general,120.0,Amazon Black Friday order
2025-11-28,finance,350.0,Car insurance premium
2025-12-01,food,64.2,Grocery run at Whole Foods
2025-12-03,transportation,22.5,Subway weekly pass
2025-12-05,utility,115.3,Electricity bill — December
2025-12-07,life_style,29.99,Spotify + Apple TV bundle
2025-12-10,general,85.0,Christmas gift wrapping supplies
2025-12-13,food,95.8,Holiday dinner groceries
2025-12-15,finance,120.0,Year-end tax prep fee
2025-12-18,transportation,210.0,Round-trip train to Boston
2025-12-20,life_style,55.0,Movie night + dinner
2025-12-23,utility,70.0,Gas heating bill — December
2025-12-27,general,48.0,Post-holiday drugstore run
2025-12-30,food,37.5,New Year's Eve snacks & drinks
2026-01-02,finance,250.0,Roth IRA contribution — January
2026-01-05,food,58.9,Weekly groceries at Trader Joe's
2026-01-07,transportation,18.0,Subway weekly pass
2026-01-10,utility,105.6,Electricity bill — January
2026-01-12,life_style,14.99,Netflix monthly subscription
2026-01-15,general,22.0,Office supplies — notebooks
2026-01-18,food,43.7,Brunch with friends
2026-01-21,transportation,38.5,Uber rides — late January
2026-01-25,finance,180.0,Health insurance copay
2026-01-28,life_style,89.99,Gym membership — January
2026-02-02,food,71.2,Grocery run at Whole Foods
2026-02-05,utility,88.4,Internet + streaming bundle
2026-02-08,general,60.0,Valentine's Day flowers
2026-02-11,transportation,55.0,Car oil change
2026-02-14,food,110.0,Valentine's dinner at steakhouse
2026-02-17,finance,300.0,Monthly investment deposit
2026-02-20,life_style,39.99,Concert ticket — local venue
2026-02-24,utility,92.1,Electricity bill — February
2026-03-01,food,47.8,Weekly groceries at Aldi
2026-03-04,transportation,18.0,Subway weekly pass
2026-03-08,general,33.5,Printer ink cartridges
2026-03-12,finance,120.0,Quarterly insurance premium
2026-03-16,life_style,25.0,Museum membership renewal
2026-03-20,food,82.6,Dinner party groceries
2026-03-25,utility,101.0,Gas & electric — March
2026-05-19,5,150.0,stock purchase
2025-05-04,general,231.0,Test
